country,HSCode,value,year,country,code
INDONESIA,98167,173040.0999999997,3839591,Indonesia,IDN
IRAN,51815,145058.91999999972,2120730,Iran,Unknown code
IRAQ,6076,181613.15999999997,273597,Iraq,IRQ
IRELAND,67631,6790.520000000012,2462670,Ireland,IRL
ISRAEL,77605,32626.05999999999,2866773,Israel,ISR
ITALY,107118,66988.09999999992,4177376,Italy,ITA
JAMAICA,12855,53.519999999999996,452341,Jamaica,JAM
JAPAN,102164,150999.4499999997,3831737,Japan,JPN
JERSEY         ,76,0.19,4037,Jersey         ,Unknown code
JORDAN,35834,15220.310000000043,1306024,Jordan,JOR
KAZAKHSTAN,18321,5694.700000000005,661024,Kazakhstan,KAZ
KENYA,39341,1686.7499999999964,1631246,Kenya,KEN
KIRIBATI REP,538,1.02,20087,Kiribati Rep,Unknown code
KOREA DP RP,52693,1908.9499999999948,1752944,Korea Dp Rp,Unknown code
KOREA RP,102114,175578.2499999999,3825660,Korea Rp,Unknown code
KUWAIT,42260,138485.08999999997,1502545,Kuwait,KWT
KYRGHYZSTAN,8804,56.41999999999999,341197,Kyrghyzstan,Unknown code
LAO PD RP,6102,933.0099999999995,257622,Lao Pd Rp,Unknown code
LATVIA,27150,1344.1899999999982,961276,Latvia,LVA
LEBANON,27462,436.62999999999926,976795,Lebanon,LBN
LESOTHO,1566,132.80999999999997,62370,Lesotho,LSO
LIBERIA,11506,1048.3699999999988,369883,Liberia,LBR
LIBYA,9893,6442.150000000007,363855,Libya,LBY
LIECHTENSTEIN,9294,16.719999999999995,275582,Liechtenstein,LIE
LITHUANIA,33441,2330.030000000002,1152583,Lithuania,LTU
LUXEMBOURG,34628,894.1399999999988,1051125,Luxembourg,LUX
MACAO,7566,59.00999999999999,245373,Macao,MAC
MACEDONIA,7229,219.79000000000002,221257,Macedonia,Unknown code
MADAGASCAR,20106,1214.0399999999995,916649,Madagascar,MDG
MALAWI,8270,444.4299999999999,343885,Malawi,MWI
MALAYSIA,99948,128477.26999999997,3859846,Malaysia,MYS
MALDIVES,13831,126.49000000000015,438147,Maldives,MDV
MALI,11259,798.2700000000001,433652,Mali,MLI
MALTA,16656,610.539999999999,523047,Malta,MLT
MARSHALL ISLAND,2481,234.01000000000002,84580,Marshall Island,Unknown code
MARTINIQUE,984,1.7600000000000002,32178,Martinique,MTQ
MAURITANIA,6673,134.61000000000004,209190,Mauritania,MRT
MAURITIUS,35132,378.1999999999997,1143240,Mauritius,MUS
MAYOTTE,314,0.32,10092,Mayotte,MYT
MEXICO,73193,37106.35,2780820,Mexico,MEX
MICRONESIA,403,0.15000000000000002,10037,Micronesia,Unknown code
MOLDOVA,4543,33.42,160902,Moldova,Unknown code
MONACO,6602,80.14000000000001,209223,Monaco,MCO
MONGOLIA,5001,84.84000000000006,188905,Mongolia,MNG
MONTENEGRO,653,1.4800000000000002,26209,Montenegro,MNE
MONTSERRAT,592,0.3,20081,Montserrat,MSR
MOROCCO,36421,16083.90000000004,1433293,Morocco,MAR
MOZAMBIQUE,15484,4877.500000000003,713903,Mozambique,MOZ
MYANMAR,31288,16480.060000000023,1336025,Myanmar,MMR
N. MARIANA IS.,1100,1.2800000000000002,34188,N. Mariana Is.,Unknown code
NAMIBIA,11133,386.6599999999998,353841,Namibia,NAM
NAURU RP,3029,133.23000000000002,102390,Nauru Rp,Unknown code
NEPAL,70809,9185.410000000022,2971441,Nepal,NPL
NETHERLAND,100618,37143.61000000001,4010358,Netherland,Unknown code
NETHERLANDANTIL,19722,219.68999999999986,736821,Netherlandantil,Unknown code
NEW CALEDONIA,7182,250.76,226810,New Caledonia,NCL
NEW ZEALAND,64273,8425.190000000013,2758087,New Zealand,NZL
NICARAGUA,5638,32.84,213190,Nicaragua,NIC
NIGER,9033,188.24999999999997,307131,Niger,NER
NIGERIA,37635,145261.85000000003,1492014,Nigeria,NGA
NIUE IS,814,0.4500000000000001,24116,Niue Is,Unknown code
NORFOLK IS,4804,4.349999999999994,164890,Norfolk Is,Unknown code
NORWAY,64929,12802.860000000024,2344198,Norway,NOR
OMAN,49760,32712.30999999995,1937038,Oman,OMN
PACIFIC IS,34,0.01,2011,Pacific Is,Unknown code
PAKISTAN IR,60377,6176.9600000000255,2444834,Pakistan Ir,Unknown code
PALAU,945,7.76,28194,Palau,PLW
PANAMA C Z,900,161.51,32112,Panama C Z,Unknown code
PANAMA REPUBLIC,16109,2450.370000000004,562697,Panama Republic,Unknown code
PAPUA N GNA,6894,2426.9399999999982,295595,Papua N Gna,Unknown code
PARAGUAY,8876,625.1199999999997,359724,Paraguay,PRY
PERU,27843,10617.98000000002,1186225,Peru,PER
PHILIPPINES,76278,6742.100000000016,2868338,Philippines,PHL
PITCAIRN IS.,415,0.39,18140,Pitcairn Is.,Unknown code
POLAND,72554,7874.220000000025,2725136,Poland,POL
PORTUGAL,68189,2224.819999999998,2483626,Portugal,PRT
PUERTO RICO,17012,430.13999999999976,585266,Puerto Rico,PRI
Petroleum Products,81,6797.509999999999,5996,Petroleum Products,Unknown code
QATAR,37929,121093.09999999996,1334642,Qatar,QAT
REUNION,16812,265.9299999999999,552984,Reunion,Unknown code
ROMANIA,56544,5200.980000000017,1945420,Romania,ROU
RUSSIA,77912,69320.93000000002,2755544,Russia,Unknown code
RWANDA,3802,24.46999999999999,142884,Rwanda,RWA
SAMOA,3918,16.83,114726,Samoa,WSM
SAN MARINO,2518,2.819999999999999,92730,San Marino,SMR
SAO TOME,798,0.3700000000000001,26139,Sao Tome,Unknown code
SAUDI ARAB,71943,336214.6600000003,2719034,Saudi Arab,Unknown code
SENEGAL,18573,4631.130000000005,691307,Senegal,SEN
SERBIA,8312,129.8900000000001,314527,Serbia,SRB
SEYCHELLES,9071,34.59000000000003,285620,Seychelles,SYC
SIERRA LEONE,13720,205.58000000000007,441896,Sierra Leone,SLE
SINGAPORE,104399,126180.13999999985,4076375,Singapore,SGP
SLOVAK REP,39721,1054.1299999999983,1352722,Slovak Rep,Unknown code
SLOVENIA,55796,1785.9799999999964,1904805,Slovenia,SVN
SOLOMON IS,3009,364.15000000000003,108404,Solomon Is,Unknown code
SOMALIA,8228,289.65,377524,Somalia,SOM
SOUTH AFRICA,88147,100282.26999999997,3341776,South Africa,ZAF
SOUTH SUDAN ,257,232.62,14119,South Sudan ,Unknown code
SPAIN,98744,22791.190000000006,3868491,Spain,ESP
SRI LANKA DSR,84565,10514.080000000024,3366131,Sri Lanka Dsr,Unknown code
ST HELENA,2566,1.4500000000000006,68324,St Helena,Unknown code
ST KITT N A,899,0.78,22116,St Kitt N A,Unknown code
ST LUCIA,3372,33.80000000000001,98676,St Lucia,Unknown code
ST PIERRE,1297,21.550000000000004,40123,St Pierre,Unknown code
ST VINCENT,1081,128.83,30090,St Vincent,Unknown code
STATE OF PALEST,164,1.85,6055,State Of Palest,Unknown code
SUDAN,21804,5563.510000000005,825667,Sudan,SDN
SURINAME,8179,571.0699999999998,267278,Suriname,SUR
SWAZILAND,31776,673.7899999999985,1089607,Swaziland,Unknown code
SWEDEN,85565,26961.230000000007,2918181,Sweden,SWE
SWITZERLAND,95970,294674.0700000007,3536171,Switzerland,CHE
SYRIA,12087,989.3099999999995,528056,Syria,Unknown code
TAIWAN,101020,53802.17999999997,3704827,Taiwan,Unknown code
TAJIKISTAN,5602,209.13999999999993,222628,Tajikistan,TJK
TANZANIA REP,31356,8884.060000000007,1334099,Tanzania Rep,Unknown code
THAILAND,102164,69705.94999999992,4034656,Thailand,THA
TIMOR LESTE,2941,26.240000000000016,86461,Timor Leste,Unknown code
TOGO,12195,2420.0400000000004,502637,Togo,TGO
TOKELAU IS,1757,1.2200000000000004,52225,Tokelau Is,Unknown code
TONGA,1508,2.8699999999999974,46196,Tonga,TON
TRINIDAD,9347,1307.5399999999997,321854,Trinidad,Unknown code
TUNISIA,32089,3801.850000000016,1202324,Tunisia,TUN
TURKEY,86054,19822.220000000045,3316975,Turkey,TUR
TURKMENISTAN,6055,266.78999999999996,259193,Turkmenistan,TKM
TURKS C IS,2257,8.129999999999997,76280,Turks C Is,Unknown code
TUVALU,880,3.5199999999999996,24133,Tuvalu,TUV
Trade to Unspecified Countries,54,23856.84,4009,Trade To Unspecified Countries,Unknown code
U ARAB EMTS,102500,354791.85,4010287,U Arab Emts,Unknown code
U K,109333,101166.18000000004,4287341,U K,Unknown code
U S A,110584,349848.29000000015,4397685,U S A,Unknown code
UGANDA,15096,417.1200000000003,651270,Uganda,UGA
UKRAINE,52641,27963.969999999972,1984629,Ukraine,UKR
UNION OF SERBIA & MONTENEGRO,9036,92.19000000000003,274765,Union Of Serbia & Montenegro,Unknown code
UNSPECIFIED,80354,167362.00999999954,3050138,Unspecified,Unknown code
URUGUAY,20952,324.9199999999999,799765,Uruguay,URY
US MINOR OUTLYING ISLANDS               ,3686,3.1699999999999995,116913,Us Minor Outlying Islands               ,Unknown code
UZBEKISTAN,13436,856.8099999999997,588708,Uzbekistan,UZB
VANUATU REP,1921,126.21000000000002,64239,Vanuatu Rep,Unknown code
VATICAN CITY,428,0.51,14106,Vatican City,Unknown code
VENEZUELA,17225,87070.76999999999,624808,Venezuela,Unknown code
VIETNAM SOC REP,74505,34756.10000000002,2950661,Vietnam Soc Rep,Unknown code
VIRGIN IS US,6423,34.129999999999995,229223,Virgin Is Us,Unknown code
WALLIS F IS,807,1.58,22118,Wallis F Is,Unknown code
YEMEN REPUBLC,16031,11433.950000000013,606382,Yemen Republc,Unknown code
ZAMBIA,16264,5002.720000000001,528321,Zambia,ZMB
ZIMBABWE,12569,498.70999999999947,511769,Zimbabwe,ZWE
